bjd,rv,rv_err,instrument,bis,bis_err,fwhm,fwhm_err,halpha,halpha_err,logrhk,logrhk_err
2.4569806959157e6,14.7394,1.200642,HARPS_PRE,5.153300521942835,2.206453504674257,8.121466872008757,0.006612153909858529,0.350605826871864,0.008404622614868346,-3.544366841738311,0.0004806659185845421
2.4569807019577e6,11.5413,1.187104,HARPS_PRE,6.491506760490235,2.459701779405443,8.123407264465145,0.006742584229408012,0.34867840081986656,0.00817999878374906,-3.543941519124083,0.0004806659185845421
2.4569826787895e6,17.4145,1.440916,HARPS_PRE,8.111228462430939,1.4784692098058854,8.168420991879522,0.007569724204001116,0.3503565355416382,0.010899272725296186,-3.538426585445417,0.0004806659185845421
2.4569826848906e6,14.9682,1.492694,HARPS_PRE,11.051179686833153,2.2201004278497307,8.163759207564748,0.008124290683801228,0.3533974986289512,0.011653956477408564,-3.520638180510381,0.0004806659185845421
2.4569876309268e6,-23.4461,1.525264,HARPS_PRE,55.10924143854853,6.595976822701475,8.207512917632107,0.00937890147683204,0.3567460464033569,0.011872685325530962,-3.541668632650223,0.0004806659185845421
2.4569876370795e6,-20.5067,1.567757,HARPS_PRE,52.46733758081842,7.834573700772887,8.213487584242076,0.009546118472379564,0.35652101407594405,0.012390160365074116,-3.531638899183328,0.0004806659185845421
2.4569886927621e6,-21.9804,1.206562,HARPS_PRE,44.363339811790084,5.217131409649632,8.101487636317248,0.007799906619186762,0.341740724810209,0.008402675783616236,-3.555459178145121,0.0004806659185845421
2.4572238814284e6,-40.9199,2.011731,HARPS_POST,17.209567579174745,3.6539978651857608,8.180535994509091,0.008237945484202994,0.35452997599550395,0.013090172522007422,-3.5466027699563982,0.0024998704196073735
2.457223892522e6,-34.5054,2.104208,HARPS_POST,19.85636018484055,3.7689723440835103,8.177904495240996,0.008081848387976879,0.35077735491765194,0.013815738497374812,-3.5535561710970285,0.0024998704196073735
2.4572248815882e6,-67.5468,1.760104,HARPS_POST,58.19112923455819,6.2738396132709475,8.148762987219234,0.009323112068889229,0.3443518255102916,0.01265869484961879,-3.5602829590013583,0.0024998704196073735
2.4572248896411e6,-64.7356,1.619829,HARPS_POST,55.78076570890873,4.639056704898975,8.149479630756188,0.008523741109619074,0.34581026454399433,0.011171393846611087,-3.5530791379655255,0.0024998704196073735
2.457333766266e6,-76.7787,1.406789,HARPS_POST,54.93423556190059,7.212282338611069,8.202581650591062,0.009456155801568028,0.35543291697537027,0.005712185741791862,-3.552869270198771,0.0024998704196073735
2.4573337769414e6,-76.911,1.414913,HARPS_POST,60.561328743887394,6.672659748253481,8.204919330517347,0.0091777432898206,0.35322294881704075,0.005803657176453694,-3.5516127143537255,0.0024998704196073735
2.457342741859e6,-97.6928,1.434168,HARPS_POST,68.7288294684208,7.487530782255234,8.169827461132408,0.009544213227593891,0.34769452106027116,0.006147685057044694,-3.5595925621646867,0.0024998704196073735
2.4573427525348e6,-96.3885,1.411871,HARPS_POST,67.08163390243315,6.425003584563373,8.164792538795897,0.009273485480171189,0.3473531921999359,0.005699747285355011,-3.5624526773089933,0.0024998704196073735
2.4573446913476e6,-24.9922,1.138918,HARPS_POST,12.822017020984372,2.808034448554161,8.143503209443994,0.0071672007376093905,0.34247913977474537,0.006118350841849183,-3.5678290853473236,0.0024998704196073735
2.4573447019202e6,-25.8783,1.150543,HARPS_POST,11.72276842850728,2.23129074616635,8.148200606583686,0.0071322839980279785,0.34449143536766674,0.00631897812673497,-3.5678306493956837,0.0024998704196073735
2.4576008244639e6,-9.58415,2.434816,HARPS_POST,21.647004532112685,2.336252825260792,8.131381521992262,0.007682763448233594,0.34859019273102904,0.016727986362376344,-3.5676117064686985,0.0024998704196073735
2.4576008364926e6,-11.2517,3.631567,HARPS_POST,10.67500381732528,3.8095162564090814,8.139226397863437,0.00777637285294818,0.35599387937884025,0.025774221783017248,-3.5891327686552237,0.0024998704196073735
2.4577138008374e6,-21.8427,1.640104,HARPS_POST,31.059291008916787,3.3963026608393188,8.1547042049895,0.008176643475482347,0.35017677320114354,0.00856592811679946,-3.543043944285622,0.0024998704196073735
2.4577138115211e6,-20.291,1.579749,HARPS_POST,35.37281586747692,3.1056887976164864,8.155195333897497,0.008543220230191481,0.3492421406155749,0.007686901369958413,-3.551126282025066,0.0024998704196073735
2.4577706126913e6,7.35185,1.459152,HARPS_POST,21.36125174797679,2.1950714787242283,8.20955052136642,0.007241642965336013,0.3741956326716416,0.006561017823069309,-3.518682659846825,0.0024998704196073735
2.4577706232547e6,7.68119,1.507487,HARPS_POST,20.628044072158485,2.144061032561837,8.21004502595442,0.007370264211301453,0.37245418584842527,0.007149238238218271,-3.5146465375860676,0.0024998704196073735
2.458007719415e6,-29.6338,1.816126,HARPS_POST,28.556374876819945,5.515987850953959,8.130551822485087,0.00861393117614304,0.34228422549387066,0.013577666437516888,-3.564721352401433,0.0024998704196073735
2.4580077307085e6,-32.5362,2.208463,HARPS_POST,22.377760905105433,5.04093226385921,8.131965229730854,0.00847130858153002,0.3427241883405089,0.01621330381903038,-3.5873354535172894,0.0024998704196073735
2.4580356240042e6,-6.69317,1.550487,HARPS_POST,22.41152323986023,2.1110477108208343,8.129581409074138,0.006685228574747399,0.34706660163983705,0.008247308594134426,-3.5535600088004617,0.0024998704196073735
2.4580356347851e6,-5.77953,1.51131,HARPS_POST,19.698379831397133,2.1044653195376934,8.12902969383453,0.007067859529689427,0.3486490522896617,0.007784039353467114,-3.5529660889696864,0.0024998704196073735
2.4580396290484e6,-7.11127,1.525558,HARPS_POST,41.12201890352607,5.242858980613753,8.205131539101485,0.008089659464309194,0.35650674938983695,0.007939445463493693,-3.5286407401218685,0.0024998704196073735
2.458039639929e6,-6.10799,1.514482,HARPS_POST,42.09762429905339,3.749237151654465,8.205065894024221,0.008258276376354705,0.3561708037859477,0.007745182004070645,-3.530910272349574,0.0024998704196073735
2.4584175605103e6,18.6092,1.477908,HARPS_POST,-0.994606671442827,6.016251206707474,8.780036299168575,0.010538579123515319,0.3752176491137485,0.011705183863533825,-3.505523897209464,0.0024998704196073735
2.4584177671452e6,4.30059,1.598121,HARPS_POST,-9.88124885648299,6.53447384719111,8.830407081939152,0.016486636908974995,0.375509482519118,0.011693919243998685,-3.5126255997227873,0.0024998704196073735
